baseline spread
1 0
2 0
3 1
4 3
5 8
6 6
6 7
8 10
9 4
10 6
11 12
12 9
13 10
14 8
14 5
16 8
17 6
18 7
19 2
20 11
21 4
22 6
22 4
24 15
25 14
25 6
27 11
27 15
29 7
29 11
29 12
32 28
33 17
34 4
34 11
36 25
37 9
37 29
37 25
40 9
40 20
40 15
40 11
40 22
45 12
45 7
47 10
48 11
48 13
48 13
48 14
52 11
53 23
54 13
55 11
55 5
57 18
58 5
58 7
58 8
61 5
61 11
63 11
63 9
63 8
63 8
67 20
67 15
67 11
70 5
70 17
70 17
70 20
74 13
74 15
74 14
74 13
74 9
74 18
74 8
81 16
81 13
83 23
83 9
83 22
86 20
86 23
86 33
89 11
89 28
89 20
89 29
89 17
89 31
89 14
96 14
96 21
96 16
96 24
96 19
96 18
96 15
96 19
96 19
96 24
96 15
96 23
108 30
108 14
108 25
108 26
108 13
108 21
108 27
108 16
116 17
116 30
116 20
116 26
116 27
116 19
116 40
116 23
124 34
124 29
124 29
124 29
124 34
124 16
124 21
124 24
124 32
124 30
124 18
124 17
136 36
136 30
136 24
136 25
136 24
136 15
136 22
136 30
136 32
136 25
136 22
136 36
136 30
136 43
136 19
136 20
136 25
136 22
136 16
136 42
136 24
136 46
136 40
159 35
159 42
159 33
159 34
159 26
159 37
159 16
159 35
159 25
159 46
159 26
159 39
159 39
159 24
159 36
159 46
159 38
159 19
159 45
178 25
178 16
178 16
178 19
178 16
178 13
178 24
178 20
178 13
178 33
178 18
178 25
178 16
