name,area,count,adjustedcount,year
Fengjun Li,esorics,2,0.39286,2024
Xiaojiang Du,esorics,2,0.45,2024
Bo Luo,esorics,2,0.39286,2024
Michael K. Reiter,esorics,1,0.5,2013
Micah Sherr,esorics,1,0.5,2016
Yang Cao 0011,esorics,1,0.11111,2020
Li Xiong 0001,esorics,1,0.11111,2020
Masatoshi Yoshikawa,esorics,1,0.11111,2020
Jinfei Liu,esorics,1,0.11111,2020
Xingliang Yuan,esorics,1,0.25,2015
Cong Wang 0001,esorics,1,0.25,2015
Arthur Gervais,esorics,1,0.2,2016
Vincent Lenders,esorics,1,0.2,2016
Srdjan Capkun,esorics,2,0.45,2016
Wenjing Lou,esorics,1,0.25,2015
Vir V. Phoha,esorics,1,0.5,2011
Dogan Kesdogan,esorics,1,0.33333,1998
Peter Reichl,esorics,1,0.33333,1998
Angelo Spognardi,esorics,1,0.33333,2023
Fengwei Zhang,esorics,1,0.25,2014
Kevin Leach,esorics,1,0.25,2014
Willy Susilo,esorics,6,1.21786,2022
Kaitai Liang,esorics,4,0.97619,2022
Hai Jin 0001,esorics,1,0.14286,2022
Gunes Acar,esorics,1,0.25,2015
Claudia Díaz,esorics,1,0.25,2015
Florian Tschorsch,esorics,1,0.25,2020
Hannes Federrath,esorics,1,0.25,2011
Dominik Herrmann,esorics,1,0.25,2011
Alexandros Kapravelos,esorics,1,0.2,2010
Iasonas Polakis,esorics,1,0.2,2010
Evangelos P. Markatos,esorics,1,0.2,2010
Abhishek Bichhawat,esorics,1,0.125,2023
Ralf Küsters,esorics,3,0.49167,2023
Guido Schmitz,esorics,1,0.125,2023
Lingyu Wang 0001,esorics,1,0.2,2025
Suryadipta Majumdar,esorics,1,0.2,2025
Guangdong Bai,esorics,1,0.16667,2020
Xue Li 0001,esorics,1,0.16667,2020
Ryan K. L. Ko,esorics,1,0.16667,2020
Filip Zagórski,esorics,1,0.33333,2018
Daniel J. Dougherty,esorics,2,0.58333,2007
Shriram Krishnamurthi,esorics,1,0.25,2013
Philipp Jovanovic,esorics,1,0.33333,2014
Dan Boneh,esorics,1,0.25,2010
Carl A. Gunter,esorics,2,0.7,2009
José Meseguer 0001,esorics,1,0.2,2009
Fengjun Li,esorics,2,0.53333,2022
Jingqiang Lin 0001,esorics,2,0.325,2022
Zhu Li 0001,esorics,1,0.2,2022
Bo Luo,esorics,2,0.53333,2022
Veit Hagenmeyer,esorics,1,0.2,2025
David Pointcheval,esorics,1,0.33333,2023
Antonella Santone,esorics,1,0.25,2025
Yupeng Zhang 0001,esorics,1,0.33333,2024
Christian Doerr,esorics,1,0.25,2016
Zhenfeng Zhang,esorics,1,0.25,2019
Tina Eliassi-Rad,esorics,1,0.11111,2022
Alina Oprea,esorics,1,0.11111,2022
Melanie Volkamer,esorics,2,0.66667,2022
Daniele Sgandurra,esorics,2,0.83333,2018
Djedjiga Mouheb,esorics,1,0.5,2025
Bart Preneel,esorics,1,0.25,2025
Suryadipta Majumdar,esorics,1,0.14286,2018
Lingyu Wang 0001,esorics,2,0.34286,2018
Mourad Debbabi,esorics,2,0.34286,2018
Michael Backes 0001,esorics,2,1.5,2005
Jianting Ning,esorics,1,0.2,2016
Zhenfu Cao,esorics,2,0.53333,2016
Xiaolei Dong,esorics,2,0.53333,2016
Junqing Gong 0001,esorics,1,0.2,2016
Jie Chen 0021,esorics,1,0.2,2016
Shouling Ji,esorics,1,0.16667,2023
Bryan C. Ward,esorics,1,0.2,2019
Bo Luo,esorics,1,0.25,2018
Fengjun Li,esorics,1,0.25,2018
Ninghui Li 0001,esorics,1,0.2,2016
Carol J. Fung,esorics,1,0.25,2016
Tam Vu 0001,esorics,1,0.25,2016
Chao Chen 0015,esorics,1,0.16667,2021
Nora Cuppens-Boulahia,esorics,1,0.2,2014
Frédéric Cuppens,esorics,1,0.2,2014
Mauro Conti,esorics,2,0.34286,2023
Damith C. Ranasinghe,esorics,1,0.5,2025
Qian Wang 0002,esorics,1,0.16667,2015
Shengshan Hu,esorics,1,0.16667,2015
Kui Ren 0001,esorics,2,0.36667,2015
Zhibo Wang 0001,esorics,1,0.16667,2015
David A. Wagner 0001,esorics,1,0.25,1998
Alina Oprea,esorics,1,0.5,2009
Daniel O'Keeffe 0001,esorics,1,0.33333,2024
Darren Hurley-Smith,esorics,1,0.33333,2024
Marc Juarez,esorics,1,0.2,2016
Mohsen Imani,esorics,1,0.2,2016
Claudia Díaz,esorics,1,0.2,2016
Matthew Wright 0001,esorics,1,0.2,2016
J. Alex Halderman,esorics,1,0.5,2015
Lujo Bauer,esorics,1,0.25,2012
Indrajit Ray,esorics,1,0.5,2004
Adam J. Aviv,esorics,1,0.5,2014
Peng Liu 0005,esorics,2,0.4,2016
Tom Chothia,esorics,2,0.66667,2014
Kaitai Liang,esorics,1,0.14286,2025
Stjepan Picek,esorics,3,0.72619,2025
Mauro Conti,esorics,5,1.2,2025
Arshad Jhumka,esorics,1,0.33333,2023
Elisa Bertino,esorics,4,1.225,2018
Flavio D. Garcia,esorics,1,0.5,2016
Reza Samavi,esorics,1,0.33333,2020
Douglas Stebila,esorics,1,0.33333,2020
Isabel Wagner,esorics,1,0.5,2018
Eerke A. Boiten,esorics,1,0.5,2018
Zhenyu Ning,esorics,1,0.125,2020
Jun Xu 0024,esorics,1,0.125,2020
Fengwei Zhang,esorics,1,0.125,2020
Xinyu Xing 0001,esorics,1,0.125,2020
Bing Mao 0001,esorics,1,0.125,2020
Nick Falkner,esorics,1,0.25,2015
David A. Basin,esorics,1,0.33333,2019
Søren Debois,esorics,1,0.33333,2019
Jason Crampton,esorics,1,0.5,2010
Michael Huth 0001,esorics,1,0.5,2010
Ling Liu 0001,esorics,3,0.55952,2020
Yanzhao Wu 0001,esorics,2,0.30952,2020
Emiliano De Cristofaro,esorics,1,0.25,2014
Ersin Uzun,esorics,1,0.25,2014
Fuchun Guo,esorics,2,0.325,2022
João Porto de Albuquerque,esorics,1,0.33333,2005
Heiko Krumm,esorics,1,0.33333,2005
Paulo Lício de Geus,esorics,1,0.33333,2005
Peng Liu 0005,esorics,1,0.33333,2013
Jianying Zhou 0001,esorics,1,0.25,2018
César Sánchez 0001,esorics,1,0.16667,2024
Bo Luo,esorics,1,0.33333,2021
Fengjun Li,esorics,1,0.33333,2021
Thomas P. Jensen,esorics,1,0.33333,2006
James Boorman,esorics,1,0.33333,2020
Daniel Prince,esorics,1,0.33333,2020
Seunghee Shin,esorics,1,0.2,2025
Junbeom Hur,esorics,2,0.4,2025
Youngjoo Shin,esorics,2,0.53333,2025
Giampaolo Bella,esorics,1,0.5,2024
Fuchun Guo,esorics,1,0.33333,2012
Willy Susilo,esorics,2,0.58333,2012
Mark Manulis,esorics,1,0.25,2019
Claudia Díaz,esorics,1,0.25,2023
Luigi V. Mancini,esorics,1,0.33333,2024
Robert H. Deng,esorics,2,0.5,2015
Yingjiu Li,esorics,1,0.25,2015
Shengli Liu 0001,esorics,1,0.25,2015
Indrakshi Ray,esorics,1,0.5,2022
Debdeep Mukhopadhyay,esorics,1,0.25,2024
Marc Fischlin,esorics,1,0.25,2021
Tibor Jager,esorics,1,0.25,2021
Daniel Slamanig,esorics,2,0.58333,2021
Liyao Xiang,esorics,1,0.25,2023
Shaddin F. Doghmi,esorics,1,0.33333,2007
Joshua D. Guttman,esorics,1,0.33333,2007
Thorsten Strufe,esorics,2,0.5,2020
Xiaoning Liu 0002,esorics,1,0.5,2019
