# Faculty whose CSRankings roster name differs from their publication-table name.
# Generated 2026-08-22T17:34:20.242Z by scripts/sync-nsf-roster-names.mjs.
# The publication-table name is what the site matches on; edit a row to correct a resolution.
faculty_name,roster_name,affiliation
Aaron D. Striegel,Aaron Striegel,University of Notre Dame
Abdou S. Youssef,Abdou Youssef,George Washington University
Abusayeed M. Saifullah,Abusayeed Saifullah,University of Texas at Dallas
Adji Bousso Dieng,Adji B. Dieng,Princeton University
Alberto E. Cerpa,Alberto Cerpa,Univ. of California - Merced
Alex Pang,Alex T. Pang,Univ. of California - Santa Cruz
Alexander H. Nelson 0001,Alexander Nelson 0001,University of Arkansas
Alexander C. Russell,Alexander Russell,University of Connecticut
Amy Zhang,Amy X. Zhang,University of Texas at Austin
Anand Tripathi,Anand R. Tripathi,University of Minnesota
Andrew Robb,Andrew C. Robb,Clemson University
Anil Kumar S. Vullikanti,Anil Vullikanti,University of Virginia
Aniruddha Gokhale,Aniruddha S. Gokhale,Vanderbilt University
Anneliese Andrews,Anneliese Amschler Andrews,University of Denver
Antonio R. Nicolosi,Antonio Nicolosi,Stevens Institute of Technology
Assefaw H. Gebremedhin,Assefaw Hadish Gebremedhin,Washington State University
Austin L. Toombs,Austin Toombs,Indiana University
Barbara H. Liskov,Barbara Liskov,Massachusetts Inst. of Technology
Ben W. Reichardt,Ben Reichardt,University of Southern California
Benjamin C. Lok,Benjamin Lok,University of Florida
Beth A. Plale,Beth Plale,Indiana University
Bhargav P. Narayanan,Bhargav Narayanan,Rutgers University
Brendan A. Juba,Brendan Juba,Washington University in St. Louis
Brenna Argall,Brenna D. Argall,Northwestern University
Brent Harrison,Brent E. Harrison,University of Kentucky
Brent R. Waters,Brent Waters,University of Texas at Austin
Brian L. Curless,Brian Curless,University of Washington
Brian C. Keegan,Brian Keegan,University of Colorado Boulder
Calvin Newport,Calvin C. Newport,Georgetown University
Charles R. Wallace,Charles Wallace 0001,Michigan Technological University
Chase Q. Wu,Chase Qishi Wu,NJIT
Chengxiang Zhai,ChengXiang Zhai,Univ. of Illinois at Urbana-Champaign
Christine J. Alvarado,Christine Alvarado,Univ. of California - San Diego
Christopher Gill 0001,Christopher D. Gill,Washington University in St. Louis
Christopher M. Homan,Christopher Homan,Rochester Inst. of Technology
Christopher D. Kiekintveld,Christopher Kiekintveld,University of Texas - El Paso
Christopher R. Johnson 0001,Christopher W. Johnson 0001,University of Utah
Cindy M. Grimm,Cindy Grimm,Oregon State University
Clark Barrett,Clark W. Barrett,Stanford University
Cliff Changchun Zou,Cliff C. Zou,University of Central Florida
Collin Lynch,Collin F. Lynch,North Carolina State University
Dale F. Reed,Dale Reed,University of Illinois at Chicago
Daniel J. Hsu,Daniel Hsu 0001,Columbia University
Daniel Chester,Daniel L. Chester,University of Delaware
Daniel Lopresti,Daniel P. Lopresti,Lehigh University
Daniel R. Sheldon,Daniel Sheldon,Univ. of Massachusetts Amherst
Danielle Szafir,Danielle Albers Szafir,University of North Carolina
Danny Z. Chen,Danny Ziyi Chen,University of Notre Dame
David Leake,David B. Leake,Indiana University
David S. Bindel,David Bindel,Cornell University
David M. Brooks,David Brooks 0001,Harvard University
David E. Evans 0001,David Evans 0001,University of Virginia
David W. Jacobs,David Jacobs 0001,Univ. of Maryland - College Park
David F. Kotz,David Kotz,Dartmouth College
David T. Lee,David Lee 0002,Univ. of California - Santa Cruz
David Mimno,David M. Mimno,Cornell University
Dawn E. Wilkins,Dawn Wilkins,University of Mississippi
Dinesh P. Mehta,Dinesh Mehta,Colorado School of Mines
Douglas E. Comer,Douglas Comer,Purdue University
Drew V. McDermott,Drew McDermott,Yale University
Eliane S. Wiese,Eliane Wiese,University of Utah
Elizabeth M. Gerber,Elizabeth Gerber,Northwestern University
Ellen W. Zegura,Ellen Zegura,Georgia Institute of Technology
Emad M. Boctor,Emad Boctor,Johns Hopkins University
Emily M. Hand,Emily Morgan Hand,University of Nevada
Emily Prud'hommeaux,Emily Tucker Prud'hommeaux,Boston College
Emmanuel O. Agu,Emmanuel Agu,Worcester Polytechnic Institute
Eric V. Mazumdar,Eric Mazumdar,California Inst. of Technology
Eric G. Mercer,Eric Mercer,Brigham Young University
Eric K. Torng,Eric Torng,Michigan State University
Erin Solovey,Erin Treacy Solovey,Worcester Polytechnic Institute
Feng Zhu 0010,Feng Zhu 0006,University of Alabama - Huntsville
Fernando D. Diaz,Fernando Diaz 0001,Carnegie Mellon University
Gita Sukthankar,Gita Reese Sukthankar,University of Central Florida
Gursimran S. Walia,Gursimran Singh Walia,Augusta University
Hung M. La,Hung Manh La,University of Nevada
Ibrahim Baggili,Ibrahim M. Baggili,Louisiana State University
Igor Fabio Steinmacher,Igor Steinmacher,Northern Arizona University
Isaac Kim 0001,Isaac H. Kim,Univ. of California - Davis
Ivan I. Garibay,Ivan Garibay,University of Central Florida
Jaijeet Roychowdhury,Jaijeet S. Roychowdhury,Univ. of California - Berkeley
James J. Martin,James H. Martin,Clemson University
James M. Tuck,James Tuck 0001,North Carolina State University
James Y. Zou,James Zou 0001,Stanford University
Jean Gallier,Jean H. Gallier,University of Pennsylvania
Jeanine Stefanucci,Jeanine K. Stefanucci,University of Utah
Jeremy D. Buhler,Jeremy Buhler,Washington University in St. Louis
Jiaqi Ma 0001,Jiaqi W. Ma,Univ. of Illinois at Urbana-Champaign
Jin-yi Cai,Jin-Yi Cai,University of Wisconsin - Madison
Jinyuan Stella Sun,Jinyuan Sun,University of Tennessee
Joanna Cecilia da Silva Santos,Joanna C. S. Santos,University of Notre Dame
John M. Edwards 0002,John Edwards 0002,Utah State University
John M. Gauch,John Gauch,University of Arkansas
John D. Kubiatowicz,John Kubiatowicz,Univ. of California - Berkeley
John P. Lalor,John Lalor,University of Notre Dame
Jonathan K. Lazar,Jonathan Lazar,Univ. of Maryland - College Park
Joshua E. Siegel,Joshua Siegel,Michigan State University
Ju-yeon Jo,Ju-Yeon Jo,University of Nevada Las Vegas
Jugal Kalita,Jugal K. Kalita,UCCS
Justin M. Solomon,Justin Solomon 0001,Massachusetts Inst. of Technology
Justin Z. Zhan,Justin Zhijun Zhan,University of Cincinnati
Karen A. Panetta,Karen Panetta,Tufts University
Karthik R. Narasimhan,Karthik Narasimhan,Princeton University
Kevin Shuai Xu,Kevin S. Xu 0001,Case Western Reserve University
Kirstin H. Petersen,Kirstin Petersen,Cornell University
Krishna Kumar Venkatasubramanian,Krishna K. Venkatasubramanian,University of Rhode Island
Kristin Yvonne Rozier,Kristin Y. Rozier,Iowa State University
Kylie A. Peppler,Kylie Peppler,Univ. of California - Irvine
Latifur R. Khan,Latifur Khan,University of Texas at Dallas
Laura Dabbish,Laura A. Dabbish,Carnegie Mellon University
Laurie Williams,Laurie A. Williams,North Carolina State University
Lenore J. Cowen,Lenore Cowen,Tufts University
Liguo Huang,LiGuo Huang,Southern Methodist University
Lilly C. Irani,Lilly Irani,Univ. of California - San Diego
Linh Thi Xuan Phan,Linh T. X. Phan,University of Pennsylvania
Loren Terveen,Loren G. Terveen,University of Minnesota
Mahdi Nasrullah Al-Ameen,Mahdi N. Al-Ameen,Utah State University
Maja Mataric,Maja J. Mataric,University of Southern California
Mani B. Srivastava,Mani Srivastava 0001,Univ. of California - Los Angeles
Mark A. Hasegawa-Johnson,Mark Hasegawa-Johnson,Univ. of Illinois at Urbana-Champaign
Mark A. Horowitz,Mark Horowitz,Stanford University
Marti Hearst,Marti A. Hearst,Univ. of California - Berkeley
Martin J. Strauss,Martin Strauss 0001,University of Michigan
Marty A. Humphrey,Marty Humphrey,University of Virginia
Matthew Gombolay,Matthew C. Gombolay,Georgia Institute of Technology
Matthew C. Caesar,Matthew Caesar 0001,Univ. of Illinois at Urbana-Champaign
Matthew Guthaus,Matthew R. Guthaus,Univ. of California - Santa Cruz
Mehmet C. Vuran,Mehmet Can Vuran,University of Nebraska
